"index","VersionID","VersionName","AffectedVersion","Class","Ticket","Bugginess"
"1","12313216","3.0.0","3.0.0","FileSnap.java","ZOOKEEPER-201","YES"
"1","12313216","3.0.0","3.0.0","FileTxnLog.java","ZOOKEEPER-201","YES"
"1","12313216","3.0.0","3.0.0","FileSnap.java","ZOOKEEPER-200","YES"
"1","12313216","3.0.0","3.0.0","FileTxnLog.java","ZOOKEEPER-199","YES"
"1","12313216","3.0.0","3.0.0","FileTxnSnapLog.java","ZOOKEEPER-199","YES"
"1","12313216","3.0.0","3.0.0","LearnerSyncRequest.java","ZOOKEEPER-198","YES"
"1","12313216","3.0.0","3.0.0","ClientCnxn.java","ZOOKEEPER-137","YES"
"1","12313216","3.0.0","3.0.0","ToStringOutputArchive.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","Request.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","FinalRequestProcessor.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","LearnerSyncRequest.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","QuorumPeer.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","ProposalRequestProcessor.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","ProviderRegistry.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","ZooKeeperServer.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","FollowerZooKeeperServer.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","ClientCnxn.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","CommitProcessor.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","Leader.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","AsyncOpsTest.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","AsyncOps.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","LearnerHandler.java","ZOOKEEPER-136","YES"
"1","12313216","3.0.0","3.0.0","QuorumTest.java","ZOOKEEPER-133","YES"
"1","12313216","3.0.0","3.0.0","ClientTest.java","ZOOKEEPER-133","YES"
"1","12313216","3.0.0","3.0.0","QuorumPeer.java","ZOOKEEPER-127","YES"
"1","12313216","3.0.0","3.0.0","Election.java","ZOOKEEPER-127","YES"
"1","12313216","3.0.0","3.0.0","QuorumCnxManager.java","ZOOKEEPER-127","YES"
"1","12313216","3.0.0","3.0.0","FastLeaderElection.java","ZOOKEEPER-127","YES"
"1","12313216","3.0.0","3.0.0","FLETest.java","ZOOKEEPER-127","YES"
